24/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8.1,-0.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,24/01/2023 21:02,0
25/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,4.5,3.8,3.4,3.3,6,6,6,6,NA,NA,NA,NA,25/01/2023 09:03,0
25/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,9.4,4.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,25/01/2023 21:02,0
26/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,5.3,2.8,-0.9,-1,6,6,6,6,NA,NA,NA,NA,26/01/2023 09:03,0
26/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,7.7,4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,26/01/2023 21:02,0
27/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,4.3,3.4,-0.3,0.7,6,6,6,6,NA,NA,NA,NA,27/01/2023 09:03,0
27/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,5.5,3.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,27/01/2023 21:02,0
28/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,4.1,2.3,-0.6,0.2,6,6,6,6,NA,NA,NA,NA,28/01/2023 09:03,0
28/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,7.7,2.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,28/01/2023 21:02,0
29/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,6.2,4.1,2.3,2.4,6,6,6,6,NA,NA,NA,NA,29/01/2023 09:03,0
29/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8.1,4.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,29/01/2023 21:02,0
30/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,7.8,5.4,2.4,2.3,6,6,6,6,NA,NA,NA,NA,30/01/2023 09:04,0
30/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8.8,5.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,30/01/2023 21:02,0
31/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,8,4.3,1.9,2,6,6,6,6,NA,NA,NA,NA,31/01/2023 09:04,0
31/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,9.3,5.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,31/01/2023 21:02,0
01/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,7.2,4.7,2,1.9,6,6,6,6,NA,NA,NA,NA,01/02/2023 09:03,0
01/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,9.2,7.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,01/02/2023 21:02,0
02/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,7.8,6.9,5.1,5,6,6,6,6,NA,NA,NA,NA,02/02/2023 09:03,0
02/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,10.5,7.5,NA,NA,6,6,NA,NA,NA,NA,NA,NA,02/02/2023 21:02,0
03/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,10,8.6,7.1,6.9,6,6,6,6,NA,NA,NA,NA,03/02/2023 09:03,0
03/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,12.1,8.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,03/02/2023 21:02,0
04/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,9,7.7,6.6,6.6,6,6,6,6,NA,NA,NA,NA,04/02/2023 09:03,0
04/02/2023 21:00,DCNN,4206,12,1,NCM,556,1011,9.2,7.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,04/02/2023 21:02,0
05/02/2023 09:00,DCNN,4206,12,1,NCM,556,1011,8.5,2.1,-3.5,-2.5,6,6,6,6,NA,NA,NA,NA,05/02/2023 09:04,0
