ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q,min_grss_temp_q,min_conc_temp_q,max_air_temp_j,min_air_temp_j,min_grss_temp_j,min_conc_temp_j,meto_stmp_time,midas_stmp_etime
27/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.2,3.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,27/02/2022 21:05,0
28/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,7.4,3.9,1.6,1.4,6,6,6,6,NA,NA,NA,NA,28/02/2022 09:09,0
28/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.5,7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,28/02/2022 21:09,0
01/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,7,3.1,0.5,0.7,6,6,6,6,NA,NA,NA,NA,01/03/2022 09:10,0
01/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,9.1,4.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,01/03/2022 21:09,0
02/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5.5,4.8,4.6,5,6,6,6,6,NA,NA,NA,NA,02/03/2022 09:10,0
02/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,6.3,5,NA,NA,6,6,NA,NA,NA,NA,NA,NA,02/03/2022 21:09,0
03/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5.7,4.8,4.2,4.7,6,6,6,6,NA,NA,NA,NA,03/03/2022 09:10,0
03/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.5,5.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,03/03/2022 21:06,0
04/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,8.9,5.2,5,5.7,6,6,6,6,NA,NA,NA,NA,04/03/2022 09:10,0
04/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,6.4,5.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,04/03/2022 21:05,0
05/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5.4,3.8,1.7,2,6,6,6,6,NA,NA,NA,NA,05/03/2022 09:11,0
05/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,7.5,3.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,05/03/2022 21:09,0
06/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,4.1,2.4,0.8,1.2,6,6,6,6,NA,NA,NA,NA,06/03/2022 09:10,0
06/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8.6,2.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,06/03/2022 21:09,0
07/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,3.3,-1,-7.1,-3.5,6,6,6,6,NA,NA,NA,NA,07/03/2022 09:09,0
07/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,7.9,2.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,07/03/2022 21:09,0
08/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,2.4,-0.9,-3.8,-3.6,6,6,6,6,NA,NA,NA,NA,08/03/2022 09:08,42
08/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,11.6,2.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,08/03/2022 21:09,0
09/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,8,5.2,3.1,2.9,6,6,6,6,NA,NA,NA,NA,09/03/2022 09:10,0
09/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,13,7.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,09/03/2022 21:05,0
10/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,10.3,7.4,5.3,5.4,6,6,6,6,NA,NA,NA,NA,10/03/2022 09:10,0
10/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,15.9,10.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,10/03/2022 21:09,0
11/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,12.1,7.8,6,6,6,6,6,6,NA,NA,NA,NA,11/03/2022 09:10,0
11/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,12.7,8.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,11/03/2022 21:09,0
12/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,8.6,6.6,5.6,6,6,6,6,6,NA,NA,NA,NA,12/03/2022 09:09,0
12/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,12.8,7.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,12/03/2022 21:09,0
13/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,8.2,6.8,5.1,4.9,6,6,6,6,NA,NA,NA,NA,13/03/2022 09:10,0
13/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,12.4,7.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,13/03/2022 21:09,0
14/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,7.4,3,0.3,0.6,6,6,6,6,NA,NA,NA,NA,14/03/2022 09:10,0
14/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,13.2,4.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,14/03/2022 21:09,0
15/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5.7,-0.6,-7.2,-3.1,6,6,6,6,NA,NA,NA,NA,15/03/2022 09:10,0
15/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,14.7,5.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,15/03/2022 21:09,0
16/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,10.4,6.5,1.6,4,6,6,6,6,NA,NA,NA,NA,16/03/2022 09:11,0
16/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,9.5,5,NA,NA,6,6,NA,NA,NA,NA,NA,NA,16/03/2022 21:09,0
17/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5.6,1.3,-0.5,-0.6,6,6,6,6,NA,NA,NA,NA,17/03/2022 09:11,0
17/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,13,5.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,17/03/2022 21:05,0
18/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,8.9,2.2,-3.9,-1.1,6,6,6,6,NA,NA,NA,NA,18/03/2022 09:10,0
18/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,15.5,7.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,18/03/2022 21:04,0
19/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,8.4,3.6,1.4,1.5,6,6,6,6,NA,NA,NA,NA,19/03/2022 09:10,0
19/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,14.4,5.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,19/03/2022 21:09,0
20/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,6.1,1.5,-0.9,-0.5,6,6,6,6,NA,NA,NA,NA,20/03/2022 09:10,0
20/03/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.4,2.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,20/03/2022 21:04,0
21/03/2022 09:00,DCNN,4206,12,1,NCM,556,1011,5.5,-1.8,-8.3,-4.1,6,6,6,6,NA,NA,NA,NA,21/03/2022 09:10,0
